"Plot Title: 10679014 jackson July29"
"#","Date Time, GMT-05:00","K-Type, °F (LGR S/N: 10679014, SEN S/N: 10679014, LBL: water pipe)",Energy Produced (Wh)

1,07/29/16 10:26:34 AM,72.86,9.468

2,07/29/16 11:26:34 AM,73.92,9.468

3,07/29/16 12:26:34 PM,73.98,9.468

4,07/29/16 01:26:34 PM,74.86,9.468

5,07/29/16 02:26:34 PM,75.34,9.468

6,07/29/16 03:26:34 PM,76.75,9.468

7,07/29/16 04:26:34 PM,77.95,9.468

8,07/29/16 05:26:34 PM,75.16,9.468

9,07/29/16 06:26:34 PM,74.30,9.468

10,07/29/16 07:26:34 PM,73.89,9.468

11,07/29/16 08:26:34 PM,74.23,9.468

12,07/29/16 09:26:34 PM,73.53,9.468

13,07/29/16 10:26:34 PM,73.27,9.468

14,07/29/16 11:26:34 PM,73.45,9.468

15,07/30/16 12:26:34 AM,72.30,12.062

16,07/30/16 01:26:34 AM,72.70,12.062

17,07/30/16 02:26:34 AM,72.82,12.062

18,07/30/16 03:26:34 AM,72.77,12.062

19,07/30/16 04:26:34 AM,72.61,12.062

20,07/30/16 05:26:34 AM,72.54,12.062

21,07/30/16 06:26:34 AM,72.18,12.062

22,07/30/16 07:26:34 AM,72.07,12.062

23,07/30/16 08:26:34 AM,71.82,12.062

24,07/30/16 09:26:34 AM,69.84,12.062

25,07/30/16 10:26:34 AM,73.09,12.062

26,07/30/16 11:26:34 AM,77.43,12.062

27,07/30/16 12:26:34 PM,82.18,12.062

28,07/30/16 01:26:34 PM,85.08,12.062

29,07/30/16 02:26:34 PM,87.33,12.062

30,07/30/16 03:26:34 PM,84.78,12.062

31,07/30/16 04:26:34 PM,88.74,12.062

32,07/30/16 05:26:34 PM,86.99,12.062

33,07/30/16 06:26:34 PM,88.02,12.062

34,07/30/16 07:26:34 PM,86.16,12.062

35,07/30/16 08:26:34 PM,86.09,12.062

36,07/30/16 09:26:34 PM,85.33,12.062

37,07/30/16 10:26:34 PM,84.70,12.062

